"group","code","name","icd"
"0030","137","Tuberculosis",9
"0030","1370","Tuberculosis",9
"0030","1371","Tuberculosis",9
"0030","1372","Tuberculosis",9
"0030","1373","Tuberculosis",9
"0030","1374","Tuberculosis",9
"0030","1375","Tuberculosis",9
"0030","1376","Tuberculosis",9
"0030","1377","Tuberculosis",9
"0030","1378","Tuberculosis",9
"0030","1379","Tuberculosis",9
"0030","010","Tuberculosis",9
"0030","0100","Tuberculosis",9
"0030","0101","Tuberculosis",9
"0030","0102","Tuberculosis",9
"0030","0103","Tuberculosis",9
"0030","0104","Tuberculosis",9
"0030","0105","Tuberculosis",9
"0030","0106","Tuberculosis",9
"0030","0107","Tuberculosis",9
"0030","0108","Tuberculosis",9
"0030","0109","Tuberculosis",9
"0030","011","Tuberculosis",9
"0030","0110","Tuberculosis",9
"0030","0111","Tuberculosis",9
"0030","0112","Tuberculosis",9
"0030","0113","Tuberculosis",9
"0030","0114","Tuberculosis",9
"0030","0115","Tuberculosis",9
"0030","0116","Tuberculosis",9
"0030","0117","Tuberculosis",9
"0030","0118","Tuberculosis",9
"0030","0119","Tuberculosis",9
"0030","012","Tuberculosis",9
"0030","0120","Tuberculosis",9
"0030","0121","Tuberculosis",9
"0030","0122","Tuberculosis",9
"0030","0123","Tuberculosis",9
"0030","0124","Tuberculosis",9
"0030","0125","Tuberculosis",9
"0030","0126","Tuberculosis",9
"0030","0127","Tuberculosis",9
"0030","0128","Tuberculosis",9
"0030","0129","Tuberculosis",9
"0030","013","Tuberculosis",9
"0030","0130","Tuberculosis",9
"0030","0131","Tuberculosis",9
"0030","0132","Tuberculosis",9
"0030","0133","Tuberculosis",9
"0030","0134","Tuberculosis",9
"0030","0135","Tuberculosis",9
"0030","0136","Tuberculosis",9
"0030","0137","Tuberculosis",9
"0030","0138","Tuberculosis",9
"0030","0139","Tuberculosis",9
"0030","014","Tuberculosis",9
"0030","0140","Tuberculosis",9
"0030","0141","Tuberculosis",9
"0030","0142","Tuberculosis",9
"0030","0143","Tuberculosis",9
"0030","0144","Tuberculosis",9
"0030","0145","Tuberculosis",9
"0030","0146","Tuberculosis",9
"0030","0147","Tuberculosis",9
"0030","0148","Tuberculosis",9
"0030","0149","Tuberculosis",9
